conditions,frame,cell,area,Signal1,Signal2,YFPcorr,Signal3,Signal4,Activity
mCherry,6,5,4806,103.797,143.184,86.096,240.461,115.706,0.829465
mCherry,7,1,7897,35.0563,47.4539,28.1729,85.639,136.291,0.803649
mCherry,7,2,6410,39.5477,54.1727,32.4215,93.5783,142.378,0.819807
mCherry,7,3,7498,25.8602,36.0218,21.7987,57.835,79.0386,0.842945
mCherry,7,4,6511,28.0874,38.0589,22.6109,63.8377,79.9531,0.805018
mCherry,8,1,4055,156.045,226.056,140.231,443.839,205.021,0.898656
mCherry,8,2,4790,185.421,297.124,195.143,668.129,236.785,1.05243
mCherry,9,1,7435,26.0768,35.5298,21.1876,56.0381,41.0731,0.812505
mCherry,9,2,7983,58.293,82.4534,50.3922,128.576,64.594,0.864464
mCherry,9,3,6061,45.0825,63.6275,38.8321,137.73,79.2583,0.861357
mCherry,9,4,5921,32.4494,43.6834,25.8362,97.5958,65.7035,0.7962
mCherry,10,1,5528,54.4714,80.4267,50.4675,133.044,92.5658,0.926496
mCherry,10,2,6934,47.8662,70.8263,44.4999,112.619,98.6546,0.929673
mCherry,10,3,5822,46.0035,68.4608,43.1588,101.847,150.655,0.938163
mCherry,10,4,6670,43.8409,63.9399,39.8274,95.2664,152.954,0.908454
mCherry,11,1,8284,51.4967,70.2604,41.9372,122.016,72.2309,0.814367
mCherry,11,2,8899,105.834,158.323,100.114,257.192,70.1775,0.94595
mCherry,11,3,7238,114.348,164.776,101.885,309.282,31.1988,0.891013
mCherry,11,4,6481,65.4001,88.9029,52.9329,164.508,48.9007,0.80937
mCherry,12,1,8512,23.1367,33.034,20.3088,48.3462,56.5382,0.877773
mCherry,12,2,8363,28.4766,38.1819,22.5198,62.9566,63.6275,0.790818
mCherry,12,3,7982,32.1157,43.5491,25.8855,72.5556,39.9798,0.806006
ITSN1_FL,1,1,6105,134.395,208.078,134.161,576.511,2.84652,0.998262
ITSN1_FL,1,2,7971,199.333,355.619,245.986,930.632,4.10407,1.23404
ITSN1_FL,1,3,5586,130.881,246.431,174.446,796.469,3.53803,1.33286
